,Country,Type,Name,Date,Keywords
25,Canada,Legislation,Asphalt Paving Industry Emission Regulations (R.R.N.W.T. 1990 c. E-23).,1990,"Air quality/air pollution, Emissions, Environmental standards, Pollution control"
26,Canada,Legislation,"Asphalt Paving Industry Emission Regulations (R.R.N.W.T. 1990,c.E-23).",1990,"Pollution control, Air quality/air pollution, Emissions, Offences/penalties, Enforcement/compliance, Environmental standards"
27,Canada,Legislation,Solid Fuel Burning Domestic Appliance Regulation (B.C. Reg. 218/2016).,2016,"Air quality/air pollution, Emissions, Monitoring, Enforcement/compliance, Offences/penalties, Pollution control"
28,Canada,Legislation,"Climate Leadership Act (SA 2016, c. C-16.9).",2016,"Basic legislation, Climate change, Emissions, Emissions trading, Ecofriendly products/ecofriendly processes, Air quality/air pollution, Polluter pays principle, Tax/levy, Registration, Legal proceedings/administrative proceedings, Pollution control"
29,Canada,Legislation,Renewable and Low Carbon Fuel Requirements Regulation (B.C. Reg. 394/2008).,2008,"Pollution control, Air quality/air pollution, Transport/storage, Climate change, Emissions, Clean development mechanism, Offences/penalties"
30,Canada,Legislation,Climate Change and Emissions Reductions Act (C.C.S.M. c. C135).,2008,"Climate change, Ozone layer, Emissions, Air quality/air pollution, Data collection/reporting, Offences/penalties, Environmental standards, Basic legislation, Pollution control"
31,Canada,Legislation,Climate Leadership Regulation (Alta. Reg. 175/2016).,2016,"Climate change, Emissions, Emissions trading, Ecofriendly products/ecofriendly processes, Air quality/air pollution, Polluter pays principle, Tax/levy, Registration, Legal proceedings/administrative proceedings, Enforcement/compliance, Pollution control"
32,Canada,Legislation,Greenhouse Gas Emission Reporting Regulation (B.C. Reg. 249/2015).,2015,"Clean development mechanism, Air quality/air pollution, Data collection/reporting, Inspection, Enforcement/compliance, Emissions, Pollution control"
33,Canada,Legislation,Reduction of Carbon Dioxide Emissions from Coal-Fired Generation of Electricity Regulations (SOR/2012-167).,2013,"Air quality/air pollution, Emissions, Data collection/reporting, Access-to-information, Enforcement/compliance, Offences/penalties, Environmental standards, Pollution control"
34,China,Legislation,Measures of Guangxi Zhuang Autonomous Region  for Prevention and Control of Motorized Vehicle Exhaust Pollution.,2013,"Air quality/air pollution, Emissions, Liability/compensation, Environmental standards, Pollution control"
35,China,Legislation,Measures of Anhui Province for the Prevention and Control of Pollution caused by Exhaust Gas from Motorized Vehicle.,2014,"Air quality/air pollution, Emissions, Pollution control"
36,China,Legislation,Measures on Supervision of Exhaust Pollution from Automobiles.,1990,"Emissions, Pollution control, Air quality/air pollution, Environmental standards"
37,China,Legislation,Regulations of the Shenzhen Special Economic Zone on the Prevention and Control of the Exhaust Pollution of Motor Vehicles（2004）.,2004,"Pollution control, Authorization/permit, Offences/penalties, Inspection, Air quality/air pollution, Emissions, Enforcement/compliance"
38,China,Legislation,Regulations of the Shenzhen Special Economic Zone on the Prevention and Control of the Exhaust Pollution of Motor Vehicles（2012）.,2004,"Pollution control, Authorization/permit, Offences/penalties, Inspection, Air quality/air pollution, Emissions, Enforcement/compliance"
39,China,Legislation,Implementation Measures of Shenzhen Special Economic Zone on the Exhaust Pollution Tests and Compulsory Maintenance of Motor Vehicles Currently in Use.,2007,"Pollution control, Authorization/permit, Offences/penalties, Inspection, Air quality/air pollution, Emissions, Enforcement/compliance"
40,China,Legislation,Technical Policy on the Prevention and Control of Pollution by Motor Vehicles Emissions.,1999,"Air quality/air pollution, Emissions, Pollution control, Environmental standards"
41,China,Legislation,Air Pollution Control (Volatile Organic Compounds) Regulation (Chapter 311W).,2007,"Air quality/air pollution, Emissions, Pollution control"
42,China,Legislation,Law on the Prevention and Control of Air Pollution.,2000,"Air quality/air pollution, Emissions, Liability/compensation, Environmental standards, Basic legislation, Pollution control"
43,Croatia,Legislation,Law on the ratification of the Protocol of the 1979 Convention on Long-Range Transboundary Air Pollution concerning the control of emissions of nitrogen oxides and their transboundary fluxes.,2007,"Transboundary effects, Air quality/air pollution, Emissions, International agreement-implementation, Pollution control"
44,Croatia,Legislation,Law on the ratification of the Protocol of the 1979 Convention on Long-Range Transboundary Air Pollution concerning the control of emissions volatile organic compounds or their transboundary fluxes.,2007,"Transboundary effects, Air quality/air pollution, Emissions, International agreement-text, Pollution control"
45,Croatia,Legislation,Law on the Ratification of the Protocol of the 1979 Convention on Long-Range Transboundary Air Pollution on Persistent Organic Pollutants.,2007,"Transboundary effects, Air quality/air pollution, Emissions, International agreement-text, Pollution control"
46,Cyprus,Legislation,"Limitation of Emissions of Volatile Organic Compounds due to the Use of Organic Solvents in Certain Paints, Varnishes, Vehicle Refinishing Products and Other Paints Products Law, 2006 (Law No. 35(Ι)/2006).",2006,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Inspection, Environmental standards"
47,Cyprus,Legislation,"Limitation of Emissions of Volatile Organic Compounds due to the Use of Organic Solvents in Certain Paints, Varnishes, Vehicle Refinishing Products and Other Paints Products (Amendment) Law, 2007 (Law No. 54(Ι)/2007).",2007,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Inspection, Environmental standards"
48,Cyprus,Legislation,"Limitation of Emissions of Volatile Organic Compounds due to the Use of Organic Solvents in Certain Paints, Varnishes, Vehicle Refinishing Products and Other Paints Products (Amendment) Law, 2010 (Law No. 50(Ι)/2010).",2010,"Pollution control, Air quality/air pollution, Emissions"
49,Cyprus,Legislation,"Limitation of Emissions of Volatile Organic Compounds due to the Use of Organic Solvents in Certain Paints, Varnishes, Vehicle Refinishing Products and Other Paints Products (Amendment) Law, 2011 (Law No. 183(Ι)/2011).",2011,"Pollution control, Air quality/air pollution, Emissions, Environmental standards"
50,Cyprus,Legislation,"Control of Atmospheric Pollution (Incineration of Waste Oils) Regulations, 2002 (P.I. 529/2002).",2002,"Access-to-information, Air quality/air pollution, Authorization/permit, Certification, Data collection/reporting, Emissions, Hazardous substances, Inspection, Pollution control, Environmental standards"
51,Cyprus,Legislation,"Control of Atmospheric Pollution (Limitation of Volatile Organic Compounds due to the Use of Organic Solvents in Certain Activities and Installations) (Amendment) Regulations, 2006 (P.I. 51/2006).",2006,"Access-to-information, Air quality/air pollution, Authorization/permit, Data collection/reporting, Emissions, Hazardous substances, Hazardous waste, Inspection, Pollution control, Environmental standards"
52,Czech+Republic,Legislation,"Decree on procedures for detecting, classifying and testing quantities of greenhouse gas emission.",2004,"Pollution control, Air quality/air pollution, Ozone layer, Emissions, Monitoring, Data collection/reporting"
53,Czech+Republic,Legislation,National Programme to Abate the Climate Change Impacts in the Czech Republic,2004,"Climate change, Air quality/air pollution, Emissions, Policy/planning, Pollution control"
54,Denmark,Legislation,Order No. 454 amending Order on environmental requirements for the establishment and operation of vehicle workshops.,2013,"Emissions, Air quality/air pollution, Pollution control, Hazardous substances, Oil pollution, Environmental standards"
55,Estonia,Legislation,Regulation No. 225 establishing Environmental Eligibility Requirements for Powered Aircraft.,2000,"Emissions, Certification, Air quality/air pollution, Noise pollution, Pollution control"
56,Finland,Legislation,Government Decree on the limitation of emissions of volatile organic compounds due to the use of organic solvents in certain paints and varnishes and vehicle refinishing products (No. 837 of 2005).,2005,"Pollution control, Air quality/air pollution, Hazardous substances, Emissions, Ozone layer, Environmental standards"
57,Finland,Legislation,Government Decree amending Decree on the limitation of emissions of volatile organic compounds due to the use of organic solvents in certain paints and varnishes and vehicle refinishing products (No. 269 of 2012).,2012,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Inspection"
58,Finland,Legislation,Government decree amending the Government decree on the limitation of emissions of volatile organic compounds caused by use of organic solvents in certain activities and installations (No. 838 of 2005).,2005,"Pollution control, Air quality/air pollution, Hazardous substances, Emissions, Data collection/reporting, Environmental standards"
59,Finland,Legislation,Government Decree No. 435 of 2001 on the limitation of emissions of volatile organic compounds due to the use of organic solvents in certain activities and installations.,2001,"Pollution control, Air quality/air pollution, Hazardous substances, Emissions, Environmental standards"
60,France,Legislation,Arrêté du 29 mai 2006 relatif à la réduction des émissions de composés organiques volatils dues à l'utilisation de solvants organiques dans certains vernis et peintures et dans les produits de retouche de véhicules.,2006,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Environmental standards"
61,Germany,Legislation,Organic Solvent Paint and Varnishes Ordinance.,2004,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Enforcement/compliance, Offences/penalties, Environmental standards"
62,Germany,Legislation,Organic Solvent Paint and Varnishes Ordinance.,2004,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Enforcement/compliance, Offences/penalties, Environmental standards"
63,Germany,Legislation,Bavarian Emission Control Act.,2019,"Emissions, Air quality/air pollution, Environmental planning, Monitoring, Offences/penalties, Enforcement/compliance, Environmental standards, Pollution control, Noise pollution, Financing"
64,Greece,Legislation,Ministerial Decree No. 437/2005 harmonizing the Greek legislative frame with Directive 2004/42/CE on the limitation of emissions of volatile organic compounds due to the use of organic solvents in certain paints and varnishes and vehicle refinishing products and amending Directive 1999/13/EC.,2006,"Air quality/air pollution, Pollution control, Emissions, Hazardous substances, Environmental standards"
65,Greece,Legislation,"Ministerial Decree No. 28433/2448 establishing measures to be taken against air pollution by gases from engines of motor vehicles, in compliance with EU Directives Nos. 88/76/CΕE, 88/436/CΕE, 89/458/CΕE, 89/491/CΕE and 91/441/CEΕ.",1992,"Pollution control, Air quality/air pollution, Emissions, Environmental standards"
66,Indonesia,Legislation,Decree of the State Minister for Environment No. 133/2004 on the standard quality of emission for activities of the fertilizer industry.,2004,"Air quality/air pollution, Fertilizers/nutrients, Emissions, Environmental standards, Pollution control"
67,Indonesia,Legislation,Regional Regulation of the Province of Jakarta Capital Special Region No. 2/2005 on control over air pollution.,2005,"Air quality/air pollution, Emissions, Environmental standards, Noise pollution, Pollution control"
68,Ireland,Legislation,"European Union (Paints, Varnishes, Vehicle Refinishing Products and Activities) Regulations 2012 (S.I. No. 564 of 2012).",2012,"Pollution control, Emissions, Certification, Monitoring, Institution, Enforcement/compliance, Offences/penalties, Air quality/air pollution, Environmental standards"
69,Ireland,Legislation,"European Union (Paints, Varnishes, Vehicle Refinishing Products and Activities) (Amendment) Regulations 2014 (S.I. No. 398 of 2014).",2014,"Pollution control, Emissions, Certification, Monitoring, Offences/penalties, Air quality/air pollution, Environmental standards"
70,Ireland,Legislation,"Limitation of Emissions of Volatile Organic Compounds due to the use of Organic Solvents in Certain Paints, Varnishes and Vehicle Refinishing Products Regulations 2007 (S.I. No. 199 of 2007).",2007,"Pollution control, Air quality/air pollution, Emissions, Environmental standards"
71,Ireland,Legislation,"Limitation of Emissions of Volatile Organic Compounds due to the use of Organic Solvents in Certain Paints, Varnishes and Vehicle Refinishing Products (Amendment) Regulations 2012 (S.I. No. 186 of 2012).",2012,"Pollution control, Air quality/air pollution, Emissions, Inspection, Environmental standards"
72,Ireland,Legislation,European Union (Sulphur Content of Marine Fuels) Regulations 2015 (S.I. No. 361 of 2015).,2015,"Air quality/air pollution, Emissions, Environmental standards, Pollution control, Marine pollution"
73,Ireland,Legislation,Sea Pollution (Prevention of Air Pollution from Ships) (Amendment) Regulations 2017 (S.I. No. 48 of 2017).,2017,"Air quality/air pollution, Ozone layer, Emissions, Ecofriendly products/ecofriendly processes, International agreement-implementation, Environmental standards, Pollution control, Navigation, Certification"
74,Ireland,Legislation,European Union (Installations and Activities Using Organic Solvents) Regulations 2012 (S.I. No. 565 of 2012).,2012,"Pollution control, Air quality/air pollution, Emissions, Offences/penalties, Environmental standards"
75,Ireland,Legislation,"European Union (Greenhouse Gas Emission Reductions, Calculation Methods and Reporting Requirements) Regulations 2017 (S.I. No. 160 of 2017).",2017,"Air quality/air pollution, Ozone layer, Hazardous substances, Emissions, Data collection/reporting, Pollution control, Biofuel, Environmental standards"
76,Ireland,Legislation,Sea Pollution (Prevention of Air Pollution from Ships) (Amendment) Regulations 2013 (S.I. No. 35 of 2013).,2013,"Air quality/air pollution, Ozone layer, Emissions, Ecofriendly products/ecofriendly processes, International agreement-implementation, Environmental standards, Pollution control, Navigation, Certification"
77,Ireland,Legislation,European Union (Medium Combustion Plants) Regulations 2017 (S.I. No. 595 of 2017).,2017,"Pollution control, Air quality/air pollution, Monitoring, Emissions, Registration"
78,Ireland,Legislation,European Union (Large Combustion Plants) Regulations 2012 (S.I. No. 566 of 2012).,2012,"Pollution control, Air quality/air pollution, Emissions, Environmental standards"
79,Japan,Legislation,Act on Regulation of Emissions From Non-road Special Motor Vehicles.,2005,"Air quality/air pollution, Emissions, Public health, Pollution control"
80,Japan,Legislation,Act on Special Measures against Dioxins (No. 105 of 1999).,1999,"Air quality/air pollution, Emissions, Public health, Clean development mechanism, Offences/penalties, Pollution control, Soil pollution/quality, Inspection"
81,Korea%2C+Republic+of,Legislation,Special Act on the Improvement of Air Quality in Seoul Metropolitan Area.,2003,"Air quality/air pollution, Pollution control, Public health, Emissions, Inspection, Enforcement/compliance, Offences/penalties, Basic legislation"
82,Korea%2C+Republic+of,Legislation,"Framework Act on Low Carbon, Green Growth.",2010,"Climate change, Ecofriendly products/ecofriendly processes, Basic legislation, Energy conservation/energy production, Policy/planning, Air quality/air pollution, Environmental planning, Institution, Pollution control, Emissions, Sustainable development"
83,Korea%2C+Republic+of,Legislation,"Enforcement Decree of the Framework Act on Low Carbon, Green Growth (Presidential Decree No. 22124 of 2010).",2010,"Climate change, Energy conservation/energy production, Policy/planning, Air quality/air pollution, Environmental planning, Institution, Pollution control, Emissions"
84,Kyrgyzstan,Legislation,Order No. 118 of the Ministry of Ecology and Emergency Situations validating the Regulation on ecological stations.,2001,"Air quality/air pollution, Emissions, Inspection, Offences/penalties, Pollution control"
85,Latvia,Legislation,Cabinet Regulation No. 231 of 2007 on Limitation of Emissions of Volatile Organic Compounds from Certain Products,2007,"Emissions, Environmental standards, Air quality/air pollution, Hazardous substances, Biological agents, Pollution control"
86,Latvia,Legislation,Cabinet Regulation No. 301 of 2011 on Environmental Pollution from Production of Asbestos and Asbestos-based Products and Management of Asbestos Waste,2011,"Pollution control, Waste management, Hazardous substances, Hazardous waste, Procedural matters, Emissions, Air quality/air pollution, Freshwater quality/freshwater pollution, Water quality standards"
87,Liechtenstein,Legislation,Volatile Organic Compound Tax Act.,2009,"Pollution control, Air quality/air pollution, Emissions, Environmental fees/charges, Environmental planning, Legal proceedings/administrative proceedings, Inspection, Court/tribunal, Dispute settlement, Offences/penalties, Enforcement/compliance, Environmental standards"
88,Liechtenstein,Legislation,Volatile Organic Compound Tax Act.,2009,"Pollution control, Air quality/air pollution, Emissions, Environmental fees/charges, Environmental planning, Legal proceedings/administrative proceedings, Inspection, Court/tribunal, Dispute settlement, Offences/penalties, Enforcement/compliance, Environmental standards"
89,Lithuania,Legislation,Law No. VIII-1392 “On protection of the atmospheric air”.,1999,"Air quality/air pollution, Emissions, Pollution control, Public health, Monitoring, Access-to-information"
90,Lithuania,Legislation,National Strategy for Sustainable Development.,2009,"Air quality/air pollution, Biodiversity, Climate change, Emissions, Farming, Poverty, Sustainable development, Waste management, Pollution control, Cultural heritage, Nutrition"
91,Lithuania,Legislation,National Environmental Protection Strategy.,2015,"Air quality/air pollution, Biodiversity, Climate change, Emissions, Farming, Poverty, Sustainable development, Waste management, Pollution control, Nutrition"
92,Luxembourg,Legislation,Règlement grand-ducal du 8 novembre 2002 portant application de la directive 2001/81/CE du Parlement européen et du Conseil du 23 octobre 2001 fixant des plafonds d’émission nationaux pour certains polluants atmosphériques.,2001,"Pollution control, Air quality/air pollution, Emissions, Enforcement/compliance, Environmental standards"
93,Luxembourg,Legislation,Règlement grand-ducal modifiant le règlement grand-ducal du 8 novembre 2002 portant application de la directive 2001/81/CE du Parlement européen et du Conseil du 23 octobre 2001 fixant des plafonds d’émission nationaux pour certains polluants atmosphériques.,2013,"Pollution control, Air quality/air pollution, Emissions, Enforcement/compliance, Environmental standards"
94,Luxembourg,Legislation,Règlement grand-ducal concernant la teneur en soufre de certains combustibles liquides.,2000,"Pollution control, Air quality/air pollution, Emissions, Inspection, Environmental standards"
95,Luxembourg,Legislation,Règlement grand-ducal modifiant le règlement grand-ducal modifié du 21 février 2000 concernant la teneur en soufre de certains combustibles liquides.,2013,"Pollution control, Air quality/air pollution, Emissions, Inspection, Environmental standards"
96,Malaysia,Legislation,"Environmental Quality (Control of Emission from Diesel Engines) Regulations 1996, PU (A) 429.",1996,"Pollution control, Emissions, Offences/penalties, Air quality/air pollution, Environmental standards"
97,Malta,Legislation,Control of Volatile Organic Compound - VOC Emissions (Storageand Distribution of Petrol from Terminals to Service Stations) Regulations (L.N. 54 of 2009).,2003,"Pollution control, Air quality/air pollution, Oil pollution, Emissions, Environmental standards"
98,Malta,Legislation,"Large Combustion Plants Regulations, 2010 (L.N. 172 of 2010).",2010,"Pollution control, Air quality/air pollution, Emissions, Authorization/permit, Energy conservation/energy production, Ozone layer"
99,Malta,Legislation,"Industrial Emissions (Large Combustion Plants) Regulations, 2013 (L.N. 11 of 2013).",2013,"Pollution control, Air quality/air pollution, Emissions, Environmental standards"
100,Malta,Legislation,"Limitation of Emissions of Volatile Organic Compounds Regulations, 2010 (L.N. 349 of 2010).",2010,"Pollution control, Air quality/air pollution, Hazardous substances, Emissions, Environmental standards"
101,Malta,Legislation,"Industrial Emissions (Limitation of Emissions of Volatile Organic Compounds) Regulations, 2013 (L.N. 12 of 2013).",2013,"Pollution control, Air quality/air pollution, Hazardous substances, Emissions, Environmental standards"
102,Malta,Legislation,"Industrial Emissions (Framework) Regulations, 2013 (L.N. 9 of 2013).",2013,"Pollution control, Air quality/air pollution, Emissions, Environmental standards, Effluent waste water/discharge, Soil conservation/soil improvement, Waste management, Waste non-domestic sources, Freshwater quality/freshwater pollution"
103,Malta,Legislation,"Substances Depleting the Ozone Layer Regulations, 2007 (L.N. 145 of 2007).",2007,"Pollution control, Air quality/air pollution, Ozone layer, Emissions, Hazardous substances, Inspection, Offences/penalties, Recycling/reuse"
104,Malta,Legislation,"Industrial Emissions (Integrated Pollution Prevention and Control) Regulations, 2013 (L.N. 10 of 2013).",2013,"Pollution control, Air quality/air pollution, Emissions, Offences/penalties, Environmental standards, Effluent waste water/discharge, Soil conservation/soil improvement, Waste management, Waste prevention, Waste non-domestic sources, Freshwater quality/freshwater pollution"
105,Malta,Legislation,"Certain Fluorinated Greenhouse Gases Regulations, 2010 (L.N. 93 of 2010).",2010,"Pollution control, Air quality/air pollution, Emissions, Ozone layer, Transport/storage, Offences/penalties"
106,Mongolia,Legislation,"Joint Order No. A-63/67 of the Minister of Nature, Environment and Tourism and of the Minister of Transport and Construction validating the Regulation on classification of carbon dioxide emitted by automobile and self-propelled vehicles and engine capacity.",2011,"Air quality/air pollution, Emissions, Polluter pays principle, Certification, Pollution control"
107,Namibia,Legislation,Construction and Equipment Regulations for Fishing Vessels (No. 61 of 2002).,2004,"Air quality/air pollution, Emissions, Ozone layer, Pollution control, Fishing vessel, Equipment, Certification, Inspection, Navigation"
108,New+Zealand,Legislation,Climate Change (Other Removal Activities) Amendment Regulations 2010.,2010,"Climate change, Air quality/air pollution, Emissions, Pollution control"
109,New+Zealand,Legislation,Climate Change Response Act 2002.,2002,"Climate change, Air quality/air pollution, Emissions, International agreement-implementation, Pollution control, Basic legislation, Offences/penalties, Inspection, Allocation/quota, Policy/planning, Fishery management and conservation, Forest management/forest conservation"
110,New+Zealand,Legislation,"Climate Change (General Exemptions) Amendment Order, 2010.",2010,"Climate change, Air quality/air pollution, Emissions, Pollution control"
111,Nigeria,Legislation,"National Environmental Standards and Regulations Enforcement Agency (Establishment) Act, 2007 (No. 25 of 2007).",2007,"Framework law, Basic legislation, Institution, Environmental planning, Pollution control, Air quality/air pollution, Climate change, Marine pollution, Emissions, Enforcement/compliance, Erosion, Hazardous waste, International agreement-implementation, Monitoring, Noise pollution, Ozone layer, Freshwater quality/freshwater pollution, Soil pollution/quality, Transboundary effects, Effluent waste water/discharge, Basin/catchment/watershed, Water quality standards"
112,Pakistan,Legislation,Statutory Notification S.R.O. 742 (I)/93 on National Environmental Quality Standards.,1993,"Environmental standards, Emissions, Pollution control, Air quality/air pollution, Noise pollution, Freshwater quality/freshwater pollution, Effluent waste water/discharge"
113,Peru,Legislation,Decreto Supremo Nº 047-2001-MTC ─ Límites Máximos Permisibles de emisiones contaminantes para vehículos automotores que circulen en la red vial.,2001,"Pollution control, Oil pollution, Emissions, Transport/storage, Monitoring, Air quality/air pollution, Environmental standards"
114,Peru,Legislation,"Decreto Supremo Nº 009-2012-MINAM ─ Modifica el Decreto Supremo Nº 047-2001-MTC, Límites Máximos Permisibles de emisiones contaminantes para vehículos automotores que circulen en la red vial.",2012,"Pollution control, Oil pollution, Emissions, Transport/storage, Monitoring, Air quality/air pollution, Environmental standards"
115,Poland,Legislation,"Regulation on detailed requirements concerning emission limitation of volatile organic compounds arising out of organic solvents for some paints, sprays and vehicle renovation preparations.",2005,"Pollution control, Air quality/air pollution, Emissions, Environmental standards, Hazardous substances"
116,Poland,Legislation,Regulation on the reduction of emissions of volatile organic compounds contained in certain paints and varnishes intended for painting buildings and their elements and in mixtures for vehicle refurbishment.,2016,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Environmental standards"
117,Singapore,Legislation,Environmental Protection and Management (Vehicular Emissions) Regulations (No. S 291/1999).,1999,"Offences/penalties, Air quality/air pollution, Emissions, Environmental standards, Noise pollution, Pollution control"
118,Singapore,Legislation,Energy Conservation (Fuel Economy and Vehicular Emissions Labelling) Regulations 2012.,2012,"Emissions, Air quality/air pollution, Authorization/permit, Pollution control, Energy conservation/energy production, Transport/storage"
119,Singapore,Legislation,Energy Conservation (Fuel Economy Labelling) (Amendment) Regulations 2017.,2017,"Emissions, Air quality/air pollution, Pollution control, Transport/storage, Energy conservation/energy production"
120,Singapore,Legislation,Energy Conservation (Motor Vehicles Subject to Fuel Economy Requirements) Order 2012.,2012,"Emissions, Air quality/air pollution, Authorization/permit, Pollution control, Energy conservation/energy production, Transport/storage"
121,Singapore,Legislation,Environmental Protection and Management Act (Chapter 94A).,1999,"Basic legislation, Air quality/air pollution, Emissions, Noise pollution, Hazardous substances, Hazardous waste, Pollution control, Environmental standards, Framework law, Cleaning agents/detergents, Ecosystem preservation, Education, Environmental planning, Industrial water use, Soil pollution/quality, Oil pollution, Soil rehabilitation, Use restrictions, Effluent waste water/discharge, Organic waste, Sewerage, Solid waste, Waste disposal, Waste domestic sources, Waste management, Waste non-domestic sources, Waste prevention, Water quality standards, Freshwater quality/freshwater pollution"
122,Slovakia,Legislation,Decree on requirements for limitation of emissions of volatile organic compounds due to the use of organic solvents.,2006,"Pollution control, Air quality/air pollution, Emissions, Hazardous substances, Environmental standards"
123,Slovakia,Legislation,"Decree establishing a list of regulated products, their packaging and labeling requirements to reduce emissions of volatile organic compounds in the use of organic solvents in regulated products.",2011,"Air quality/air pollution, Emissions, Enforcement/compliance, Offences/penalties, Pollution control"
