"","match_string","COU","YEA","Country.x","ROADpGDP","PKperCap","A.CO","A.NOX","A.NMVOC","A.PM10","A.PM2.5","Year.y","YEAR","GDPperCAP","keyword_sum","any_policy_implemented","Total.Rail.Transport","Passenger.Kilometers","TotPop","air.quality.air.pollution","allocation.quota","authorization.permit","basic.legislation","certification","clean.development.mechanism","data.collection.reporting","dispute.settlement","early.warning.system.emergency.intervention.system","ecosystem.preservation","education","emissions","emissions.trading","energy.conservation.energy.production","enforcement.compliance","environmental.fees.charges","environmental.planning","environmental.security","environmental.standards","framework.law","governance","hazardous.substances","hazardous.waste","inspection","institution","international.agreement.implementation","international.trade","legal.proceedings.administrative.proceedings","liability.compensation","monitoring","offences.penalties","oil","oil.pollution","ozone.layer","policy.planning","polluter.pays.principle","pollution.control","poverty","public.health","registration","renewable.energy","standards","sustainable.development","tax.levy","transboundary.effects","transport.storage","use.restrictions"
"22","BEL2003","BEL",2003,"Belgium",0.0624662420785595,12.0210100231303,19.5708180549988,12.7392789545418,2.89584651647559,0.829713974184238,0.717743349635212,2003,2003,41254.504915,0,FALSE,8265,124730,10376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","BEL2004","BEL",2004,"Belgium",0.0507026641073673,12.1677382209001,17.0375131545741,12.7819975394322,2.46109831230284,0.838528888012618,0.72338834384858,2004,2004,42543.280299,0,FALSE,8676,126800,10421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","BEL2005","BEL",2005,"Belgium",0.0477410546616498,12.115659891211,14.3061955812854,12.1321497400756,2.0834193289225,0.77635061436673,0.66401665879017,2005,2005,43290.084455,0,FALSE,9150,126960,10479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","BEL2006","BEL",2006,"Belgium",0.048581305302385,12.1340538490709,12.5955432455661,12.0114845222283,1.82939685912962,0.770476224705055,0.655757762325182,2006,2006,44104.587979,0,FALSE,9607,127990,10548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","BEL2007","BEL",2007,"Belgium",0.0432915944734941,12.3103707886317,10.991220518309,11.5285723262747,1.57655689931962,0.74368190505313,0.62751968503937,2007,2007,45390.608319,0,FALSE,9932,130810,10626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","BEL2008","BEL",2008,"Belgium",0.0407849629354434,12.1960784313725,9.81143247588425,10.7878118971061,1.38290353697749,0.720805466237942,0.603472668810289,2008,2008,45235.876097,0,FALSE,10406,130620,10710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","BEL2009","BEL",2009,"Belgium",0.0473979861898304,12.139681363468,8.63053953914238,10.029670166336,1.26963793682283,0.683790599725317,0.56739545246452,2009,2009,43968.711838,0,FALSE,10427,131060,10796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","BEL2010","BEL",2010,"Belgium",0.0943243781159582,11.6348201174743,8.1681537866896,10.0787978512775,1.17939081665654,0.687849053031797,0.566317307313072,2010,2010,44813.015419,0,FALSE,10403,126773,10896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","BEL2011","BEL",2011,"Belgium",0.0646660111856662,11.5636890741076,6.999842306487,9.50233089940458,1.03937419304293,0.626357207771858,0.505461532434973,2011,2011,44986.105454,0,FALSE,11003,127640,11038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","BEL2012","BEL",2012,"Belgium",0.138183058622545,11.5284055100387,6.44677183980757,8.98467701451041,0.925366477672086,0.572759172484888,0.454963177295659,2012,2012,45037.117584,0,FALSE,10857,128046,11107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","BEL2013","BEL",2013,"Belgium",0.142624071961696,10.8907608208621,6.2874395211059,9.03178406154859,0.888000403192627,0.556710417180943,0.434037628569078,2013,2013,45033.113989,15,TRUE,10595,121530,11159,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"33","BEL2014","BEL",2014,"Belgium",0.0970916812089205,11.0607547506468,5.69563302145507,8.59552554444265,0.827429972576222,0.517143732860139,0.393191974512018,2014,2014,45539.926488,15,TRUE,10974,123980,11209,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"34","BEL2015","BEL",2015,"Belgium",0.175936257797613,10.8426467979422,5.78917686518325,8.71429289921466,0.833283622382199,0.521643848167539,0.389203861256544,2015,2015,46201.685914,15,TRUE,10333,122240,11274,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"35","BEL2016","BEL",2016,"Belgium",0.178547278262734,10.546288941841,5.68332617573222,8.39451682845188,0.811280635983264,0.507761548117155,0.369987966527197,2016,2016,46551.557232,15,TRUE,10025,119500,11331,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"36","CAN2000","CAN",2000,"Canada",0.391712720629665,16.3593957191177,298.920515400538,58.5712343201195,19.9531208612151,2.37637139338645,1.67328918928287,2000,2000,38857.668956,0,FALSE,1548,502000,30685.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","CAN2001","CAN",2001,"Canada",0.424132715437388,15.5056742063787,299.300239269239,59.6271395680208,20.3724775714719,2.47212726707692,1.71698435331809,2001,2001,39125.849532,0,FALSE,1553,481000,31020.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","CAN2002","CAN",2002,"Canada",0.392754015055135,15.7206236629697,274.375183356128,54.8384096256106,18.9021126878032,2.34907983243611,1.61094117783976,2002,2002,39870.747806,7,TRUE,1596,493000,31360.079,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"39","CAN2003","CAN",2003,"Canada",0.404231679395545,15.3267466455282,266.84280066659,52.3137113533443,18.1013626972784,2.40416318297732,1.63589837947216,2003,2003,40224.812056,17,TRUE,1433,485000,31644.028,2,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0
"40","CAN2004","CAN",2004,"Canada",0.431240352481564,15.2898555148603,246.243726524475,49.5041303212024,17.174720830081,2.40839424311175,1.61970137493652,2004,2004,41081.452087,26,TRUE,1413,488368,31940.655,3,0,1,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,1,0,0,3,0,0,0,0,0
"41","CAN2005","CAN",2005,"Canada",0.516558833879715,15.9018709763718,193.651866788232,45.8281922349162,14.6445031748795,2.42933677787984,1.6595531456149,2005,2005,41999.236162,32,TRUE,1478,512736,32243.753,4,0,1,0,0,0,0,0,1,0,0,4,0,0,3,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,0,1,0,0,3,0,0,0,0,0
"42","CAN2006","CAN",2006,"Canada",0.579871080804588,15.6611794220251,177.431336754373,43.2344194363648,13.7330014684289,2.36055018615064,1.59113176144034,2006,2006,42672.305303,41,TRUE,1450,510103,32571.174,5,0,1,0,0,0,0,0,1,0,0,5,0,0,4,0,0,0,4,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,5,0,1,0,0,4,0,0,0,0,0
"43","CAN2007","CAN",2007,"Canada",0.668083523605752,15.3081765117695,173.478989999772,42.6711829131171,13.7834182822347,2.36331217974819,1.55518196316173,2007,2007,43135.456585,41,TRUE,1453,503471,32889.025,5,0,1,0,0,0,0,0,1,0,0,5,0,0,4,0,0,0,4,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,5,0,1,0,0,4,0,0,0,0,0
"44","CHE2000","CHE",2000,"Switzerland",0.815422778293103,11.0993240126573,21.6199652993596,5.09409401288965,3.26893781626917,0.39083461254515,0.254970482596306,2000,2000,57095.130233,0,FALSE,12620,80499,7252.603844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","CHE2001","CHE",2001,"Switzerland",0.773882299253334,11.1283688691629,19.7101662048429,4.73699251164069,2.94373779168809,0.371123571527574,0.238399717981272,2001,2001,57709.30125,0,FALSE,13301,81109,7288.489531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","CHE2002","CHE",2002,"Switzerland",0.795042072725175,11.1711921497601,18.1613562169688,4.52843343143875,2.66927643891975,0.361017870423667,0.229160859976342,2002,2002,57296.647973,0,FALSE,14147,82003,7340.577344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","CHE2003","CHE",2003,"Switzerland",0.808016361100445,11.1946726374112,17.2697323326739,4.47525368741694,2.45688292019233,0.360171318143378,0.226000355878658,2003,2003,56855.618862,0,FALSE,14509,82774,7394.05275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","CHE2004","CHE",2004,"Switzerland",0.809157326588831,11.2295383129988,16.2410060784856,4.42618374991116,2.26269320178442,0.360388814499647,0.223873852150263,2004,2004,58071.514595,0,FALSE,14914,83587,7443.493906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","CHE2005","CHE",2005,"Switzerland",0.801090647894993,11.2100721901244,15.3299637223918,4.54796357555252,2.11764916383974,0.369935173446371,0.230506990158047,2005,2005,59393.244357,0,FALSE,16144,83937,7487.641344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","CHE2006","CHE",2006,"Switzerland",0.766301662963179,11.2528204932169,13.9267306445052,4.51229094346678,1.90370050005801,0.371551292631058,0.229364718077197,2006,2006,61394.674285,0,FALSE,16578,84783,7534.377719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","CHE2007","CHE",2007,"Switzerland",0.741506851333396,11.2810859700254,13.4890382365961,4.59016092400931,1.82101262720488,0.374786612852175,0.228878674168476,2007,2007,63281.227215,0,FALSE,17434,85757,7601.839063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","CHE2008","CHE",2008,"Switzerland",0.729808275610081,11.3917751834785,12.490151684731,4.52738920574902,1.65909173026964,0.370969399583042,0.220861100177694,2008,2008,64261.922853,0,FALSE,17776,87626.684209783,7692.100906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","CHE2009","CHE",2009,"Switzerland",0.724223550638409,11.6000903973452,11.3554287499472,4.16643304875116,1.47291955620538,0.345514548827764,0.199481204088684,2009,2009,62221.084019,0,FALSE,18571,90239.259008148,7779.185844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","CHE2010","CHE",2010,"Switzerland",0.727073940979568,11.7914433413295,10.3877868429116,3.98984234907884,1.32460459231948,0.328712939357854,0.184370983014441,2010,2010,63773.726801,0,FALSE,19177,92419.387321189,7837.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","CHE2011","CHE",2011,"Switzerland",0.703793558616689,11.8042784769348,9.69394277029237,3.9086675301802,1.23218035125319,0.31539411809664,0.171039678871103,2011,2011,64385.94962,0,FALSE,19471,93400.149412342,7912.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","CHE2012","CHE",2012,"Switzerland",0.695601358189145,11.8781070197026,8.99158425015386,3.90163179394896,1.12686305804434,0.306867078563438,0.16012652494586,2012,2012,64481.328111,0,FALSE,19262,94987.570779686,7996.861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","CHE2013","CHE",2013,"Switzerland",0.668641596821007,11.9122666329027,8.28305838348721,3.86559513978736,1.03271697814594,0.297340557355951,0.149509749477964,2013,2013,64905.327013,0,FALSE,19447,96362.440481672,8089.3455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","CHE2014","CHE",2014,"Switzerland",0.63259117458441,11.9336383591219,7.6570947811698,3.76414959530459,0.944473065197641,0.289266349131599,0.140862321231234,2014,2014,65687.09977,0,FALSE,20010,97720.369848966,8188.6485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","CHE2015","CHE",2015,"Switzerland",0.6511068786296,11.9721495576461,6.81715506534708,3.48667545447931,0.845211626473327,0.271379837376405,0.12746249056214,2015,2015,66020.20949,0,FALSE,20389,99158.08360765,8282.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","CHE2016","CHE",2016,"Switzerland",0.603957527519232,12.0950219898444,6.41387837617299,3.29474390649806,0.792557467696121,0.264819692158426,0.120545460870117,2016,2016,66638.74216,0,FALSE,20812,101275.7072384,8373.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","CHE2017","CHE",2017,"Switzerland",0.601821341756048,12.1990053784738,6.02827834880423,3.05483921383944,0.739732438836664,0.258053825072896,0.113861741749127,2017,2017,67066.085728,0,FALSE,20864.5,103104.041618,8451.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","CZE2000","CZE",2000,"Czech Republic",0.442591092708951,7.13467788717122,53.9323577160907,11.0502535989412,7.04390594708764,0.666323003670301,0.569051618616201,2000,2000,23369.78894,0,FALSE,7300,73291,10272.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","CZE2001","CZE",2001,"Czech Republic",0.372728808135948,7.2453647192854,49.0244471826993,10.6385258694889,6.15593579178703,0.673396052377224,0.57098574885931,2001,2001,24194.712501,0,FALSE,7299,74078,10224.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","CZE2002","CZE",2002,"Czech Republic",0.571581956134953,7.34826592570329,44.447221058993,10.4549836351557,5.64541354646602,0.662333133995037,0.554824776514848,2002,2002,24630.950357,0,FALSE,6597,74958,10200.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","CZE2003","CZE",2003,"Czech Republic",0.672441377221816,7.52907544082816,44.1908176661068,10.8371872006405,5.54516956671744,0.716555444609356,0.597151673579919,2003,2003,25511.453587,0,FALSE,6518,76809,10201.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
